week,ACCESS1.0,CanESM2,CCSM4,CNRM.CM5,CSIRO.Mk3.6.0,GFDL.ESM2G,inmcm4,MIROC5,MPI.ESM.LR,MRI-CGCM3,HadGEM2.CC,HadGEM2-ES,month,stweek,endweek,year,holiday,season,decade,cdd1,cdd2,cdd3,cdd4,cdd5,cdd6,cdd7,cdd8,cdd9,cdd10,cdd11,cdd12
3631,19.22495598,5.024955317,9.599955678,4.224955276,9.549955487,10.24995571,7.174955636,12.82495522,7.624955609,27.74995518,11.14995542,8.349955499,8,7/28/2079,8/3/2079,2079,0,Dry,2080s,29,30,29,29,29,29,29,29,30,29,32,29
3632,15.84997797,1.42497766,7.124977708,1.574977666,2.42497766,6.72497797,5.024977803,10.27497792,6.199977875,21.37497759,2.649977744,3.449977756,8,8/4/2079,8/10/2079,2079,0,Dry,2080s,30,31,30,30,30,30,30,30,31,30,32,30
3633,53.2499671,4.799966484,23.87496758,5.274966538,8.124966681,22.49996746,16.84996665,34.44996667,20.82496679,71.72496843,8.849966586,11.57496673,8,8/11/2079,8/17/2079,2079,0,Dry,2080s,32,33,32,32,32,32,32,32,33,32,34,32
3634,66.69995689,6.024955511,29.92495537,6.624955535,10.19995558,28.19995546,21.07495546,43.1749568,26.07495546,89.92495537,11.07495546,14.52495551,8,8/18/2079,8/24/2079,2079,0,Dry,2080s,34,35,34,34,34,34,34,34,35,34,36,34
3635,12.27497768,1.099977642,5.499977589,1.199977636,1.874977648,5.174977541,3.874977827,7.924977541,4.799977779,16.52497768,2.024977684,2.67497766,8,8/25/2079,8/31/2079,2079,0,Dry,2080s,36,37,36,36,36,36,36,36,37,36,36,36
3636,6.174988747,1.074988842,0.64998883,7.099988937,3.074988842,1.249988794,3.999988794,6.099988937,3.89998889,5.249989033,1.874988794,6.849988937,9,9/1/2079,9/7/2079,2079,1,Dry,2080s,39,40,39,39,39,39,39,39,40,39,39,39
3637,33.44995618,5.799955249,3.47495532,38.52495503,16.69995534,6.699955165,21.64995527,33.04995537,21.14995551,28.44995546,10.14995551,37.17495561,9,9/8/2079,9/14/2079,2079,0,Dry,2080s,40,41,40,40,40,40,40,40,41,40,40,40
3638,35.59996653,6.199966669,3.699966609,40.97496653,17.79996705,7.149966359,23.02496743,35.17496586,22.52496719,30.29996681,10.82496679,39.59996843,9,9/15/2079,9/21/2079,2079,0,Dry,2080s,37,38,37,37,37,37,37,37,38,37,37,37
3639,77.14995575,13.42495543,7.97495538,88.8499589,38.57495499,15.4499557,49.92495561,76.22495747,48.79995537,65.62495661,23.42495501,85.74995518,9,9/22/2079,9/28/2079,2079,0,Dry,2080s,37,38,37,37,37,37,37,37,38,37,37,37
3640,25.57497883,4.449977636,2.649977684,29.44997883,12.77497816,5.124977827,16.54997778,25.27497768,16.17497778,21.74997854,7.774977684,28.42497826,10,9/29/2079,10/5/2079,2079,0,Rainy,2080s,36,36,36,36,36,36,36,36,36,36,36,36
3641,0,0,0,0,0,0,0,0,0,0,0,0,10,10/6/2079,10/12/2079,2079,1,Rainy,2080s,39,39,39,39,39,39,39,39,39,39,39,39
3642,0,0,0,0,0,0,0,0,0,0,0,0,10,10/13/2079,10/19/2079,2079,0,Rainy,2080s,41,41,41,41,41,41,41,41,41,41,41,41
3643,62.52498055,83.62497711,59.47497749,183.5249786,159.6999779,46.72497749,189.3249817,56.67498016,259.7999878,160.6499786,99.2249794,280.7749863,10,10/20/2079,10/26/2079,2079,0,Rainy,2080s,44,44,44,44,44,44,44,44,44,44,44,44
3644,117.699944,154.8999438,111.949944,335.0749493,290.1999446,87.57494545,347.9499555,108.1499472,474.049952,295.6499491,181.724946,513.8249598,11,10/27/2079,11/2/2079,2079,0,Rainy,2080s,44,44,44,44,44,44,44,44,44,44,44,44
3645,254.699955,203.874959,240.0999622,176.9249601,77.94995594,170.5499554,308.9249516,311.5749569,234.6499519,284.3499546,125.7999573,339.6249599,11,11/3/2079,11/9/2079,2079,0,Rainy,2080s,39,39,39,39,39,39,39,39,39,39,39,39
3646,221.8999329,177.5999336,209.1749306,154.1499357,67.92493439,148.5999384,269.1499386,271.4249382,204.4499302,247.7499332,109.6249342,295.8499413,11,11/10/2079,11/16/2079,2079,1,Rainy,2080s,37,37,37,37,37,37,37,37,37,37,37,37
3647,9.349988937,7.499989033,8.824989319,6.499989033,2.874988794,6.274989128,11.34998894,11.44998932,8.624988556,10.44998932,4.624989033,12.47498894,11,11/17/2079,11/23/2079,2079,0,Rainy,2080s,37,37,37,37,37,37,37,37,37,37,37,37
3648,0,0,0,0,0,0,0,0,0,0,0,0,11,11/24/2079,11/30/2079,2079,0,Rainy,2080s,42,42,42,42,42,42,42,42,42,42,42,42
3649,44.02494544,37.42494506,35.47494495,42.02494413,41.77494371,24.7749441,45.92494535,37.87494487,49.7499454,34.974944,32.24994451,39.64994431,12,12/1/2079,12/7/2079,2079,0,Rainy,2080s,42,42,42,42,42,42,42,42,42,42,42,42
3650,18.67497706,15.89997756,15.07497764,17.84997797,17.72497761,10.52497745,19.49997735,16.07497811,21.12497807,14.84997773,13.69997811,16.82497835,12,12/8/2079,12/14/2079,2079,0,Rainy,2080s,37,37,37,37,37,37,37,37,37,37,37,37
3651,86.87492275,73.82492328,70.02492404,82.94992304,82.39992428,48.87492132,90.64992189,74.69992161,98.12492418,68.97492337,63.62492299,78.12492275,12,12/15/2079,12/21/2079,2079,0,Rainy,2080s,35,35,35,35,35,35,35,35,35,35,35,35
3652,172.2749385,146.4749322,138.8249361,164.4999357,163.4749318,96.97493297,179.7499316,148.2499318,194.649938,136.824939,126.2499361,155.0249341,12,12/22/2079,12/28/2079,2079,1,Rainy,2080s,29,29,29,29,29,29,29,29,29,29,29,29
3653,119.6499453,84.6999445,62.64994574,80.72494507,93.39994431,76.84994411,76.37494469,93.87494659,100.724946,62.99994564,77.37494564,103.6999445,12,12/29/2079,1/4/2080,2079,1,Rainy,2080s,27,27,27,27,27,27,27,27,27,27,27,27
3654,80.12494588,47.84994411,24.3249445,36.62494457,52.04994535,56.44994521,25.79994369,58.17494488,49.47494316,25.49994397,46.49994445,67.39994645,1,1/5/2080,1/11/2080,2080,0,Rainy,2080s,26,26,26,26,26,26,26,26,26,26,26,26
3655,147.1999235,87.87492466,44.64992261,67.22492313,95.59992456,103.7249222,47.47492218,106.824924,90.87492275,46.84992218,85.34992409,123.8249235,1,1/12/2080,1/18/2080,2080,0,Rainy,2080s,26,26,26,26,26,26,26,26,26,26,26,26
3656,78.84993505,47.09993339,23.94993335,36.02493382,51.2499336,55.54993486,25.44993359,57.22493243,48.6749332,25.07493323,45.69993401,66.34993386,1,1/19/2080,1/25/2080,2080,0,Rainy,2080s,23,23,23,23,23,23,23,23,23,23,23,23
3657,85.97492337,59.72492313,42.12492251,49.14992189,80.32492256,74.44992113,55.09992194,73.89992332,61.34992075,41.27492285,55.69992256,73.62492275,2,1/26/2080,2/1/2080,2080,0,Rainy,2080s,17,17,17,17,17,17,17,17,17,17,17,17
3658,47.44995642,132.9499607,214.3999577,145.074954,336.4499588,206.3749599,357.374958,177.8499603,132.7749538,188.8999577,100.3249559,56.42495584,2,2/2/2080,2/8/2080,2080,0,Rainy,2080s,12,12,12,12,12,12,12,12,12,12,12,12
3659,9.299966574,26.07496643,42.02496719,28.44996643,65.94996834,40.44996738,70.04996872,34.84996748,26.02496719,37.02496719,19.64996672,11.07496691,2,2/9/2080,2/15/2080,2080,0,Rainy,2080s,12,12,12,12,12,12,12,12,12,12,12,12
3660,0,0,0,0,0,0,0,0,0,0,0,0,2,2/16/2080,2/22/2080,2080,0,Rainy,2080s,19,19,19,19,19,19,19,19,19,19,19,19
3661,26.74997902,74.94997978,120.8499756,81.77497864,189.6499786,116.3249817,201.4499741,100.2499809,74.84997749,106.4749832,56.54997826,31.82497787,2,2/23/2080,2/29/2080,2080,0,Rainy,2080s,23,23,23,23,23,23,23,23,23,23,23,23
3662,71.12496591,102.3999691,118.4749684,79.34996963,65.54996681,96.34996557,82.07496905,124.9249678,162.7499695,170.5249634,84.24996686,63.19996667,3,3/1/2080,3/7/2080,2080,0,Rainy,2080s,24,24,24,24,24,24,24,24,24,24,24,24
3663,9.474944025,13.64994383,15.79994449,10.5749442,8.724944249,12.84994435,10.9749442,16.67494488,21.69994497,22.74994457,11.2249442,8.39994444,3,3/8/2080,3/14/2080,2080,0,Rainy,2080s,26,26,26,26,26,26,26,26,26,26,26,26
3664,84.14992249,121.1499243,140.1249242,93.87492359,77.54992449,113.9749231,97.07492423,147.7499232,192.5249259,201.6749263,99.62492323,74.77492261,3,3/15/2080,3/21/2080,2080,0,Rainy,2080s,26,26,26,26,26,26,26,26,26,26,26,26
3665,1.224988818,1.77498889,2.049988747,1.374988794,1.124988794,1.674988866,1.424988866,2.14998889,2.824988842,2.949988842,1.449988842,1.099988818,3,3/22/2080,3/28/2080,2080,0,Rainy,2080s,30,30,30,30,30,30,30,30,30,30,30,30
3666,17.54995537,8.124955356,23.77495539,13.67495561,13.49995542,17.47495556,14.82495546,7.59995544,15.8499558,8.02495563,29.44995546,25.44995511,4,3/29/2080,4/4/2080,2080,0,Dry,2080s,34,34,34,34,34,34,34,34,34,34,34,34
3667,72.1749233,33.39992249,97.72492433,56.29992282,55.62492311,71.87492311,60.92492175,31.27492201,65.1749233,32.97492242,121.1749232,104.7249224,4,4/5/2080,4/11/2080,2080,1,Dry,2080s,33,33,33,33,33,33,33,33,33,33,33,33
3668,33.27492201,15.4499222,45.14992309,25.97492266,25.64992177,33.19992173,28.09992254,14.474922,30.09992218,15.22492188,55.92492247,48.32492137,4,4/12/2080,4/18/2080,2080,0,Dry,2080s,29,29,29,29,29,29,29,29,29,29,29,29
3669,39.04994535,18.07494444,52.92494655,30.47494459,30.09994388,38.87494373,32.99994475,16.9249444,35.29994488,17.84994453,65.5999434,56.6749444,4,4/19/2080,4/25/2080,2080,0,Dry,2080s,24,24,24,24,24,24,24,24,24,24,24,24
3670,25.82495558,32.9749558,28.62495565,41.64995623,31.22495592,41.6999557,24.79995501,14.29995567,30.4749558,29.57495666,47.02495623,30.24995565,5,4/26/2080,5/2/2080,2080,0,Dry,2080s,20,20,20,20,20,20,20,20,20,20,20,20
3671,4.374933064,6.749933094,4.524932951,8.299933076,5.949933052,7.999933064,4.374933064,2.599932969,5.599932969,6.049933016,8.199932933,4.724933028,5,5/3/2080,5/9/2080,2080,0,Dry,2080s,20,20,20,20,20,20,20,20,20,20,20,20
