"Location","Scenario","Var","Month","Decade","Min","Max"
"Kamloops, British Columbia","RCP 4.5","Temperature","Jan","2030-2039",-11.7,1.1
"Kamloops, British Columbia","RCP 4.5","Temperature","Feb","2030-2039",-6.1,4.5
"Kamloops, British Columbia","RCP 4.5","Temperature","Mar","2030-2039",-0.2,11
"Kamloops, British Columbia","RCP 4.5","Temperature","Apr","2030-2039",4.8,15.1
"Kamloops, British Columbia","RCP 4.5","Temperature","May","2030-2039",10.6,18.3
"Kamloops, British Columbia","RCP 4.5","Temperature","Jun","2030-2039",15.1,21.6
"Kamloops, British Columbia","RCP 4.5","Temperature","Jul","2030-2039",18.3,24.4
"Kamloops, British Columbia","RCP 4.5","Temperature","Aug","2030-2039",18.6,24.3
"Kamloops, British Columbia","RCP 4.5","Temperature","Sep","2030-2039",13.3,19.8
"Kamloops, British Columbia","RCP 4.5","Temperature","Oct","2030-2039",5.7,12.3
"Kamloops, British Columbia","RCP 4.5","Temperature","Nov","2030-2039",-2.3,7.4
"Kamloops, British Columbia","RCP 4.5","Temperature","Dec","2030-2039",-9.7,1.5
"Kamloops, British Columbia","RCP 4.5","Temperature","Jan","2040-2049",-10.8,0.8
"Kamloops, British Columbia","RCP 4.5","Temperature","Feb","2040-2049",-6.1,6.7
"Kamloops, British Columbia","RCP 4.5","Temperature","Mar","2040-2049",1.4,10.8
"Kamloops, British Columbia","RCP 4.5","Temperature","Apr","2040-2049",6.2,14.8
"Kamloops, British Columbia","RCP 4.5","Temperature","May","2040-2049",11.8,19.3
"Kamloops, British Columbia","RCP 4.5","Temperature","Jun","2040-2049",15.3,22.9
"Kamloops, British Columbia","RCP 4.5","Temperature","Jul","2040-2049",18.9,23.6
"Kamloops, British Columbia","RCP 4.5","Temperature","Aug","2040-2049",17.9,25.5
"Kamloops, British Columbia","RCP 4.5","Temperature","Sep","2040-2049",12.5,18.7
"Kamloops, British Columbia","RCP 4.5","Temperature","Oct","2040-2049",5.2,15.2
"Kamloops, British Columbia","RCP 4.5","Temperature","Nov","2040-2049",-0.4,7.4
"Kamloops, British Columbia","RCP 4.5","Temperature","Dec","2040-2049",-8.4,2.4
"Kamloops, British Columbia","RCP 4.5","Temperature","Jan","2050-2059",-9.3,3.6
"Kamloops, British Columbia","RCP 4.5","Temperature","Feb","2050-2059",-6.7,9.3
"Kamloops, British Columbia","RCP 4.5","Temperature","Mar","2050-2059",-0.1,10.5
"Kamloops, British Columbia","RCP 4.5","Temperature","Apr","2050-2059",6.3,15.5
"Kamloops, British Columbia","RCP 4.5","Temperature","May","2050-2059",11.1,19.6
"Kamloops, British Columbia","RCP 4.5","Temperature","Jun","2050-2059",16,23.7
"Kamloops, British Columbia","RCP 4.5","Temperature","Jul","2050-2059",19.3,25.8
"Kamloops, British Columbia","RCP 4.5","Temperature","Aug","2050-2059",19.1,24.8
"Kamloops, British Columbia","RCP 4.5","Temperature","Sep","2050-2059",11.9,20.4
"Kamloops, British Columbia","RCP 4.5","Temperature","Oct","2050-2059",6.2,14.1
"Kamloops, British Columbia","RCP 4.5","Temperature","Nov","2050-2059",-1.4,7.5
"Kamloops, British Columbia","RCP 4.5","Temperature","Dec","2050-2059",-8.7,5.6
"Kamloops, British Columbia","RCP 4.5","Temperature","Jan","2060-2069",-9.4,2.5
"Kamloops, British Columbia","RCP 4.5","Temperature","Feb","2060-2069",-4.7,5.6
"Kamloops, British Columbia","RCP 4.5","Temperature","Mar","2060-2069",1.3,11.9
"Kamloops, British Columbia","RCP 4.5","Temperature","Apr","2060-2069",5.7,15.2
"Kamloops, British Columbia","RCP 4.5","Temperature","May","2060-2069",12.4,19.2
"Kamloops, British Columbia","RCP 4.5","Temperature","Jun","2060-2069",15.7,22.8
"Kamloops, British Columbia","RCP 4.5","Temperature","Jul","2060-2069",18.9,24.5
"Kamloops, British Columbia","RCP 4.5","Temperature","Aug","2060-2069",19.1,25.7
"Kamloops, British Columbia","RCP 4.5","Temperature","Sep","2060-2069",12,19.3
"Kamloops, British Columbia","RCP 4.5","Temperature","Oct","2060-2069",3.4,13.3
"Kamloops, British Columbia","RCP 4.5","Temperature","Nov","2060-2069",-2,7.9
"Kamloops, British Columbia","RCP 4.5","Temperature","Dec","2060-2069",-9.7,2.6
"Kamloops, British Columbia","RCP 4.5","Temperature","Jan","2070-2079",-10.9,2.6
"Kamloops, British Columbia","RCP 4.5","Temperature","Feb","2070-2079",-4.7,6.7
"Kamloops, British Columbia","RCP 4.5","Temperature","Mar","2070-2079",1,11
"Kamloops, British Columbia","RCP 4.5","Temperature","Apr","2070-2079",7.7,16
"Kamloops, British Columbia","RCP 4.5","Temperature","May","2070-2079",12,19.7
"Kamloops, British Columbia","RCP 4.5","Temperature","Jun","2070-2079",16.3,22.2
"Kamloops, British Columbia","RCP 4.5","Temperature","Jul","2070-2079",18.2,26.6
"Kamloops, British Columbia","RCP 4.5","Temperature","Aug","2070-2079",18.5,25.6
"Kamloops, British Columbia","RCP 4.5","Temperature","Sep","2070-2079",12.7,21.1
"Kamloops, British Columbia","RCP 4.5","Temperature","Oct","2070-2079",5.7,13.2
"Kamloops, British Columbia","RCP 4.5","Temperature","Nov","2070-2079",-1.1,8
"Kamloops, British Columbia","RCP 4.5","Temperature","Dec","2070-2079",-7.6,3.9
"Kamloops, British Columbia","RCP 4.5","Temperature","Jan","2080-2089",-11.3,3.4
"Kamloops, British Columbia","RCP 4.5","Temperature","Feb","2080-2089",-3.4,6.8
"Kamloops, British Columbia","RCP 4.5","Temperature","Mar","2080-2089",1.5,11.2
"Kamloops, British Columbia","RCP 4.5","Temperature","Apr","2080-2089",8,15.1
"Kamloops, British Columbia","RCP 4.5","Temperature","May","2080-2089",12.2,19.6
"Kamloops, British Columbia","RCP 4.5","Temperature","Jun","2080-2089",15.6,25.4
"Kamloops, British Columbia","RCP 4.5","Temperature","Jul","2080-2089",18.9,24.9
"Kamloops, British Columbia","RCP 4.5","Temperature","Aug","2080-2089",18.9,25.2
"Kamloops, British Columbia","RCP 4.5","Temperature","Sep","2080-2089",12.3,19.8
"Kamloops, British Columbia","RCP 4.5","Temperature","Oct","2080-2089",6.7,14.5
"Kamloops, British Columbia","RCP 4.5","Temperature","Nov","2080-2089",-1.1,9.2
"Kamloops, British Columbia","RCP 4.5","Temperature","Dec","2080-2089",-10.8,2.9
"Kamloops, British Columbia","RCP 4.5","Temperature","Jan","2090-2099",-8.8,3.9
"Kamloops, British Columbia","RCP 4.5","Temperature","Feb","2090-2099",-3.8,7.4
"Kamloops, British Columbia","RCP 4.5","Temperature","Mar","2090-2099",0.8,11.7
"Kamloops, British Columbia","RCP 4.5","Temperature","Apr","2090-2099",8,15.1
"Kamloops, British Columbia","RCP 4.5","Temperature","May","2090-2099",12.7,21
"Kamloops, British Columbia","RCP 4.5","Temperature","Jun","2090-2099",15.8,23.4
"Kamloops, British Columbia","RCP 4.5","Temperature","Jul","2090-2099",18.7,26
"Kamloops, British Columbia","RCP 4.5","Temperature","Aug","2090-2099",18.1,27.1
"Kamloops, British Columbia","RCP 4.5","Temperature","Sep","2090-2099",12.9,20.8
"Kamloops, British Columbia","RCP 4.5","Temperature","Oct","2090-2099",5.7,13.4
"Kamloops, British Columbia","RCP 4.5","Temperature","Nov","2090-2099",-2.5,7.5
"Kamloops, British Columbia","RCP 4.5","Temperature","Dec","2090-2099",-7.6,2.7
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2010-2019",11,56
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2010-2019",3,29
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2010-2019",2,21
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2010-2019",8,25
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2010-2019",7,46
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2010-2019",10,48
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2010-2019",5,95
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2010-2019",6,73
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2010-2019",2,59
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2010-2019",5,27
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2010-2019",9,43
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2010-2019",9,65
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2020-2029",13,53
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2020-2029",6,27
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2020-2029",4,24
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2020-2029",7,27
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2020-2029",5,42
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2020-2029",7,43
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2020-2029",13,77
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2020-2029",9,93
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2020-2029",5,80
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2020-2029",6,40
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2020-2029",10,49
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2020-2029",6,65
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2030-2039",12,56
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2030-2039",4,26
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2030-2039",2,19
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2030-2039",5,29
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2030-2039",4,45
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2030-2039",9,86
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2030-2039",7,69
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2030-2039",5,70
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2030-2039",6,58
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2030-2039",2,35
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2030-2039",11,59
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2030-2039",18,86
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2040-2049",9,45
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2040-2049",5,30
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2040-2049",2,18
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2040-2049",3,30
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2040-2049",4,43
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2040-2049",6,63
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2040-2049",6,64
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2040-2049",4,64
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2040-2049",5,56
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2040-2049",5,38
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2040-2049",5,46
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2040-2049",9,71
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2050-2059",9,68
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2050-2059",4,30
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2050-2059",4,23
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2050-2059",5,30
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2050-2059",9,40
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2050-2059",15,64
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2050-2059",5,84
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2050-2059",3,45
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2050-2059",5,75
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2050-2059",6,33
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2050-2059",10,49
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2050-2059",15,82
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2060-2069",8,48
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2060-2069",4,33
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2060-2069",4,23
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2060-2069",2,29
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2060-2069",11,52
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2060-2069",9,56
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2060-2069",6,67
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2060-2069",8,64
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2060-2069",12,74
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2060-2069",6,35
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2060-2069",13,51
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2060-2069",7,85
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2070-2079",8,52
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2070-2079",2,32
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2070-2079",2,21
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2070-2079",5,33
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2070-2079",10,48
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2070-2079",9,59
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2070-2079",4,87
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2070-2079",4,73
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2070-2079",4,83
