Week,Disease_name,Reporting_date,Year,Cases,Month,Precipitation,Cases2,Dry Days,Holiday_Week,Season,Turbidity,Week_no
31,Cryptosporidiosis+Giardiasis,08-08-02,2008,192,8,0,43,37,0,Dry,0.37,31
32,Cryptosporidiosis+Giardiasis,08-08-09,2008,270,8,5.47,23,37,0,Dry,0.42,32
33,Cryptosporidiosis+Giardiasis,08-08-16,2008,411,8,0,10,41,0,Dry,0.36,33
34,Cryptosporidiosis+Giardiasis,08-08-23,2008,270,8,47.12,25,42,0,Dry,0.75,34
35,Cryptosporidiosis+Giardiasis,08-08-30,2008,486,8,3.75,5,45,1,Dry,0.41,35
36,Cryptosporidiosis+Giardiasis,08-09-06,2008,447,9,9.45,57,50,0,Dry,0.45,36
37,Cryptosporidiosis+Giardiasis,08-09-13,2008,231,9,97.32,72,50,0,Dry,2.3,37
38,Cryptosporidiosis+Giardiasis,08-09-20,2008,213,9,8.42,71,44,0,Dry,2.44,38
39,Cryptosporidiosis+Giardiasis,08-09-27,2008,210,9,157.3,86,44,0,Dry,6.4,39
40,Cryptosporidiosis+Giardiasis,08-10-04,2008,231,10,100.12,66,37,0,Rainy,8.5,40
41,Cryptosporidiosis+Giardiasis,08-10-11,2008,426,10,53.65,89,32,1,Rainy,2.85,41
42,Cryptosporidiosis+Giardiasis,08-10-18,2008,546,10,20.55,66,26,0,Rainy,0.53,42
43,Cryptosporidiosis+Giardiasis,08-10-25,2008,423,10,51.2,84,27,0,Rainy,0.8,43
44,Cryptosporidiosis+Giardiasis,08-11-01,2008,384,11,82.62,71,24,0,Rainy,1.5,44
45,Cryptosporidiosis+Giardiasis,08-11-08,2008,171,11,33.85,86,20,1,Rainy,2.63,45
46,Cryptosporidiosis+Giardiasis,08-11-15,2008,129,11,15.7,66,24,0,Rainy,1.5,46
47,Cryptosporidiosis+Giardiasis,08-11-22,2008,165,11,53.65,89,21,0,Rainy,0.85,47
48,Cryptosporidiosis+Giardiasis,08-11-29,2008,183,11,84.3,66,20,0,Rainy,1.6,48
49,Cryptosporidiosis+Giardiasis,08-12-06,2008,153,12,12.87,84,24,0,Rainy,2.48,49
50,Cryptosporidiosis+Giardiasis,08-12-13,2008,99,12,74.77,21,26,0,Rainy,1.2,50
51,Cryptosporidiosis+Giardiasis,08-12-20,2008,60,12,51.3,23,25,0,Rainy,0.81,51
52,Cryptosporidiosis+Giardiasis,08-12-27,2008,171,12,73.67,38,23,1,Rainy,1.2,52
1,Cryptosporidiosis+Giardiasis,09-01-10,2009,102,1,52.35,18,22,1,Rainy,0.83,53
2,Cryptosporidiosis+Giardiasis,09-01-17,2009,48,1,34.15,84,21,0,Rainy,0.63,54
3,Cryptosporidiosis+Giardiasis,09-01-24,2009,120,1,111.57,99,18,0,Rainy,2.8,55
4,Cryptosporidiosis+Giardiasis,09-01-31,2009,108,1,115.22,79,17,0,Rainy,3,56
5,Cryptosporidiosis+Giardiasis,09-02-07,2009,114,2,36.17,122,17,0,Rainy,3.64,57
6,Cryptosporidiosis+Giardiasis,09-02-14,2009,141,2,49.4,137,13,0,Rainy,3.79,58
7,Cryptosporidiosis+Giardiasis,09-02-21,2009,135,2,68.67,117,11,0,Rainy,1.1,59
8,Cryptosporidiosis+Giardiasis,09-02-28,2009,165,2,80.95,59,11,0,Rainy,1.4,60
9,Cryptosporidiosis+Giardiasis,09-03-07,2009,108,3,45.2,74,11,0,Rainy,1.72,61
10,Cryptosporidiosis+Giardiasis,09-03-14,2009,118,3,55.05,54,14,0,Rainy,1.87,62
11,Cryptosporidiosis+Giardiasis,09-03-21,2009,129,3,33.45,55,11,0,Rainy,0.62,63
12,Cryptosporidiosis+Giardiasis,09-03-28,2009,240,3,39.35,70,14,0,Rainy,0.67,64
13,Cryptosporidiosis+Giardiasis,09-04-04,2009,132,4,24.37,50,16,0,Rainy,2.55,65
14,Cryptosporidiosis+Giardiasis,09-04-11,2009,108,4,14.42,49,17,0,Dry,0.49,66
15,Cryptosporidiosis+Giardiasis,09-04-18,2009,204,4,24.62,64,18,1,Dry,0.55,67
16,Cryptosporidiosis+Giardiasis,09-04-25,2009,180,4,12.62,44,21,0,Dry,0.48,68
17,Cryptosporidiosis+Giardiasis,09-05-02,2009,111,5,9.42,35,24,0,Dry,0.45,69
18,Cryptosporidiosis+Giardiasis,09-05-09,2009,180,5,0,50,28,0,Dry,0.36,70
19,Cryptosporidiosis+Giardiasis,09-05-16,2009,198,5,4.37,30,33,0,Dry,0.41,71
20,Cryptosporidiosis+Giardiasis,09-05-23,2009,138,5,20.57,10,33,1,Dry,0.53,72
21,Cryptosporidiosis+Giardiasis,09-05-30,2009,219,5,66.22,25,33,0,Dry,1,73
22,Cryptosporidiosis+Giardiasis,09-06-06,2009,192,6,15.35,5,34,0,Dry,0.5,74
23,Cryptosporidiosis+Giardiasis,09-06-13,2009,174,6,8.95,76,40,0,Dry,0.45,75
24,Cryptosporidiosis+Giardiasis,09-06-20,2009,171,6,7.45,91,41,0,Dry,0.43,76
25,Cryptosporidiosis+Giardiasis,09-06-27,2009,213,6,27.35,71,40,0,Dry,0.58,77
26,Cryptosporidiosis+Giardiasis,09-07-04,2009,138,7,18.75,17,38,0,Dry,0.52,78
27,Cryptosporidiosis+Giardiasis,09-07-11,2009,207,7,30.4,32,37,1,Dry,0.6,79
28,Cryptosporidiosis+Giardiasis,09-07-18,2009,306,7,45.6,12,36,0,Dry,0.73,80
29,Cryptosporidiosis+Giardiasis,09-07-25,2009,381,7,16.32,40,36,0,Dry,0.5,81
30,Cryptosporidiosis+Giardiasis,09-08-01,2009,303,8,0,55,41,0,Dry,0.36,82
31,Cryptosporidiosis+Giardiasis,09-08-08,2009,348,8,0,35,41,0,Dry,0.36,83
32,Cryptosporidiosis+Giardiasis,09-08-15,2009,318,8,0,10,43,0,Dry,0.36,84
33,Cryptosporidiosis+Giardiasis,09-08-22,2009,335,8,13.9,25,45,0,Dry,0.49,85
34,Cryptosporidiosis+Giardiasis,09-08-29,2009,354,8,0,5,50,0,Dry,0.36,86
35,Cryptosporidiosis+Giardiasis,09-09-05,2009,324,9,0,24,52,0,Dry,0.36,87
36,Cryptosporidiosis+Giardiasis,09-09-12,2009,303,9,1.77,39,53,1,Dry,0.39,88
37,Cryptosporidiosis+Giardiasis,09-09-19,2009,354,9,0,19,57,0,Dry,0.36,89
38,Cryptosporidiosis+Giardiasis,09-09-26,2009,363,9,10.95,12,57,0,Dry,0.46,90
39,Cryptosporidiosis+Giardiasis,09-10-03,2009,348,10,11.72,27,54,0,Dry,0.47,91
40,Cryptosporidiosis+Giardiasis,09-10-10,2009,339,10,42.32,7,52,0,Dry,0.7,92
41,Cryptosporidiosis+Giardiasis,09-10-17,2009,204,10,81.57,22,46,1,Rainy,1.4,93
42,Cryptosporidiosis+Giardiasis,09-10-24,2009,258,10,26.07,37,39,0,Rainy,0.57,94
43,Cryptosporidiosis+Giardiasis,09-10-31,2009,183,10,12.75,17,38,0,Rainy,0.48,95
44,Cryptosporidiosis+Giardiasis,09-11-07,2009,168,11,19.8,36,36,0,Rainy,0.52,96
45,Cryptosporidiosis+Giardiasis,09-11-14,2009,210,11,37.7,51,30,0,Rainy,0.64,97
46,Cryptosporidiosis+Giardiasis,09-11-21,2009,132,11,278.55,31,27,1,Rainy,26,98
47,Cryptosporidiosis+Giardiasis,09-11-28,2009,120,11,148.9,48,22,0,Rainy,27,99
48,Cryptosporidiosis+Giardiasis,09-12-05,2009,123,12,106.35,63,18,0,Rainy,22.6,100
49,Cryptosporidiosis+Giardiasis,09-12-12,2009,150,12,89.32,71,14,0,Rainy,11.9,101
50,Cryptosporidiosis+Giardiasis,09-12-19,2009,231,12,152.05,86,13,0,Rainy,5.1,102
51,Cryptosporidiosis+Giardiasis,09-12-26,2009,120,12,20.77,66,13,0,Rainy,6.53,103
1,Cryptosporidiosis+Giardiasis,10-01-09,2010,153,1,145.07,89,11,1,Rainy,6.1,104
2,Cryptosporidiosis+Giardiasis,10-01-16,2010,141,1,6.85,66,13,1,Rainy,7.43,105
3,Cryptosporidiosis+Giardiasis,10-01-23,2010,81,1,89.55,84,12,0,Rainy,6.9,106
4,Cryptosporidiosis+Giardiasis,10-01-30,2010,186,1,154.6,26,11,0,Rainy,5.2,107
5,Cryptosporidiosis+Giardiasis,10-02-06,2010,129,2,48.77,71,12,0,Rainy,0.78,108
6,Cryptosporidiosis+Giardiasis,10-02-13,2010,126,2,160.02,86,12,0,Rainy,7,109
7,Cryptosporidiosis+Giardiasis,10-02-20,2010,99,2,124.12,66,12,0,Rainy,6.3,110
8,Cryptosporidiosis+Giardiasis,10-02-27,2010,93,2,55.57,89,13,0,Rainy,4.88,111
9,Cryptosporidiosis+Giardiasis,10-03-06,2010,177,3,103.92,66,10,0,Rainy,0.5,112
10,Cryptosporidiosis+Giardiasis,10-03-13,2010,156,3,84.75,71,8,0,Rainy,1.6,113
11,Cryptosporidiosis+Giardiasis,10-03-20,2010,171,3,50.65,86,5,0,Rainy,0.8,114
12,Cryptosporidiosis+Giardiasis,10-03-27,2010,126,3,67.7,66,3,0,Rainy,1,115
13,Cryptosporidiosis+Giardiasis,10-04-03,2010,183,4,41.27,89,4,0,Rainy,0.68,116
14,Cryptosporidiosis+Giardiasis,10-04-10,2010,144,4,47.42,66,3,0,Rainy,0.76,117
15,Cryptosporidiosis+Giardiasis,10-04-17,2010,150,4,14.87,84,7,1,Rainy,0.5,118
16,Cryptosporidiosis+Giardiasis,10-04-24,2010,177,4,28.75,73,9,0,Dry,0.58,119
17,Cryptosporidiosis+Giardiasis,10-05-01,2010,213,5,13.42,25,13,0,Dry,0.48,120
18,Cryptosporidiosis+Giardiasis,10-05-08,2010,171,5,7.8,40,17,0,Dry,0.44,121
19,Cryptosporidiosis+Giardiasis,10-05-15,2010,225,5,22.92,20,19,0,Dry,0.54,122
20,Cryptosporidiosis+Giardiasis,10-05-22,2010,177,5,31.57,18,19,0,Dry,0.6,123
21,Cryptosporidiosis+Giardiasis,10-05-29,2010,153,5,35.95,33,20,0,Dry,1.64,124
22,Cryptosporidiosis+Giardiasis,10-06-05,2010,171,6,0,13,26,1,Dry,1.36,125
23,Cryptosporidiosis+Giardiasis,10-06-12,2010,183,6,10.85,46,30,0,Dry,0.46,126
24,Cryptosporidiosis+Giardiasis,10-06-19,2010,246,6,41.52,61,29,0,Dry,0.68,127
25,Cryptosporidiosis+Giardiasis,10-06-26,2010,216,6,6.6,41,29,0,Dry,0.42,128
26,Cryptosporidiosis+Giardiasis,10-07-03,2010,252,7,10.97,52,27,0,Dry,0.46,129
27,Cryptosporidiosis+Giardiasis,10-07-10,2010,249,7,30.25,67,24,0,Dry,0.59,130
28,Cryptosporidiosis+Giardiasis,10-07-17,2010,285,7,41.37,47,23,1,Dry,0.68,131
29,Cryptosporidiosis+Giardiasis,10-07-24,2010,321,7,11.27,40,27,0,Dry,0.46,132
30,Cryptosporidiosis+Giardiasis,10-07-31,2010,363,7,7.6,55,28,0,Dry,0.43,133
31,Cryptosporidiosis+Giardiasis,10-08-07,2010,426,8,7.65,35,28,0,Dry,0.44,134
32,Cryptosporidiosis+Giardiasis,10-08-14,2010,321,8,12.02,18,27,0,Dry,0.47,135
33,Cryptosporidiosis+Giardiasis,10-08-21,2010,315,8,5.27,33,30,0,Dry,0.42,136
34,Cryptosporidiosis+Giardiasis,10-08-28,2010,441,8,26.3,13,31,0,Dry,0.57,137
35,Cryptosporidiosis+Giardiasis,10-09-04,2010,432,9,17.4,15,34,0,Dry,0.51,138
36,Cryptosporidiosis+Giardiasis,10-09-11,2010,381,9,19.42,30,37,0,Dry,0.52,139
37,Cryptosporidiosis+Giardiasis,10-09-18,2010,396,9,22.72,10,38,1,Dry,0.54,140
38,Cryptosporidiosis+Giardiasis,10-09-25,2010,357,9,0,29,41,0,Dry,0.36,141
39,Cryptosporidiosis+Giardiasis,10-10-02,2010,312,10,0,44,42,0,Dry,0.36,142
40,Cryptosporidiosis+Giardiasis,10-10-09,2010,258,10,22.92,24,42,0,Dry,0.54,143
41,Cryptosporidiosis+Giardiasis,10-10-16,2010,234,10,3.27,10,43,0,Dry,0.4,144
42,Cryptosporidiosis+Giardiasis,10-10-23,2010,96,10,96.17,25,42,1,Rainy,2.2,145
43,Cryptosporidiosis+Giardiasis,10-10-30,2010,207,10,0,5,44,0,Rainy,2.36,146
44,Cryptosporidiosis+Giardiasis,10-11-06,2010,153,11,20.7,71,44,0,Rainy,1.53,147
45,Cryptosporidiosis+Giardiasis,10-11-13,2010,150,11,126.12,86,42,0,Rainy,3.3,148
46,Cryptosporidiosis+Giardiasis,10-11-20,2010,171,11,171.07,66,43,0,Rainy,11,149
47,Cryptosporidiosis+Giardiasis,10-11-27,2010,171,11,152.15,89,37,1,Rainy,5.2,150
48,Cryptosporidiosis+Giardiasis,10-12-04,2010,192,12,72.92,66,30,0,Rainy,3.2,151
49,Cryptosporidiosis+Giardiasis,10-12-11,2010,183,12,55.52,84,26,0,Rainy,1.87,152
50,Cryptosporidiosis+Giardiasis,10-12-18,2010,141,12,98.95,71,19,0,Rainy,2.3,153
51,Cryptosporidiosis+Giardiasis,10-12-25,2010,132,12,135.07,86,17,0,Rainy,3.7,154
52,Cryptosporidiosis+Giardiasis,11-01-01,2011,129,1,58.22,66,11,0,Rainy,0.9,155
1,Cryptosporidiosis+Giardiasis,11-01-08,2011,126,1,0,89,13,1,Rainy,0.36,156
2,Cryptosporidiosis+Giardiasis,11-01-15,2011,129,1,56.02,66,13,1,Rainy,0.88,157
3,Cryptosporidiosis+Giardiasis,11-01-22,2011,108,1,92.02,84,10,0,Rainy,2,158
4,Cryptosporidiosis+Giardiasis,11-01-29,2011,162,1,65.17,66,12,0,Rainy,1.96,159
5,Cryptosporidiosis+Giardiasis,11-02-05,2011,138,2,32.22,81,14,0,Rainy,1.61,160
6,Cryptosporidiosis+Giardiasis,11-02-12,2011,114,2,38.22,61,18,0,Rainy,2.66,161
7,Cryptosporidiosis+Giardiasis,11-02-19,2011,162,2,36.6,42,21,0,Rainy,0.64,162
8,Cryptosporidiosis+Giardiasis,11-02-26,2011,117,2,1.82,57,26,0,Rainy,0.4,163
9,Cryptosporidiosis+Giardiasis,11-03-05,2011,93,3,23.35,37,28,0,Rainy,0.54,164
10,Cryptosporidiosis+Giardiasis,11-03-12,2011,186,3,51.45,12,24,0,Rainy,0.81,165
11,Cryptosporidiosis+Giardiasis,11-03-19,2011,132,3,64.25,27,23,0,Rainy,0.95,166
12,Cryptosporidiosis+Giardiasis,11-03-26,2011,90,3,40.17,7,24,0,Rainy,0.67,167
13,Cryptosporidiosis+Giardiasis,11-04-02,2011,90,4,78.5,74,24,0,Rainy,1.3,168
14,Cryptosporidiosis+Giardiasis,11-04-09,2011,156,4,23.6,89,22,0,Rainy,0.55,169
15,Cryptosporidiosis+Giardiasis,11-04-16,2011,111,4,1.67,69,22,0,Rainy,0.38,170
16,Cryptosporidiosis+Giardiasis,11-04-23,2011,87,4,13,34,24,0,Dry,0.48,171
17,Cryptosporidiosis+Giardiasis,11-04-30,2011,87,4,19.8,49,25,0,Dry,0.52,172
18,Cryptosporidiosis+Giardiasis,11-05-07,2011,135,5,40.97,29,23,1,Dry,0.68,173
19,Cryptosporidiosis+Giardiasis,11-05-14,2011,180,5,45.27,30,24,0,Dry,0.73,174
20,Cryptosporidiosis+Giardiasis,11-05-21,2011,147,5,32.9,45,24,0,Dry,0.62,175
21,Cryptosporidiosis+Giardiasis,11-05-28,2011,108,5,26.6,25,26,0,Dry,0.57,176
22,Cryptosporidiosis+Giardiasis,11-06-04,2011,132,6,37.37,43,28,1,Dry,0.64,177
23,Cryptosporidiosis+Giardiasis,11-06-11,2011,180,6,53.25,58,28,0,Dry,0.84,178
24,Cryptosporidiosis+Giardiasis,11-06-18,2011,126,6,33.85,38,24,0,Dry,0.63,179
25,Cryptosporidiosis+Giardiasis,11-06-25,2011,186,6,91.15,63,21,0,Dry,1.9,180
26,Cryptosporidiosis+Giardiasis,11-07-02,2011,177,7,7.15,78,17,0,Dry,2.43,181
27,Cryptosporidiosis+Giardiasis,11-07-09,2011,135,7,0,58,24,0,Dry,2.36,182
28,Cryptosporidiosis+Giardiasis,11-07-16,2011,264,7,15.75,17,26,1,Dry,0.5,183
29,Cryptosporidiosis+Giardiasis,11-07-23,2011,294,7,3.02,32,29,0,Dry,0.4,184
30,Cryptosporidiosis+Giardiasis,11-07-30,2011,387,7,0,12,31,0,Dry,0.36,185
31,Cryptosporidiosis+Giardiasis,11-08-06,2011,402,8,20.3,13,33,0,Dry,0.53,186
32,Cryptosporidiosis+Giardiasis,11-08-13,2011,456,8,66.2,28,36,0,Dry,1,187
33,Cryptosporidiosis+Giardiasis,11-08-20,2011,576,8,0,8,41,0,Dry,1.36,188
34,Cryptosporidiosis+Giardiasis,11-08-27,2011,585,8,0,76,46,0,Dry,0.36,189
35,Cryptosporidiosis+Giardiasis,11-09-03,2011,594,9,11.85,91,47,0,Dry,0.47,190
36,Cryptosporidiosis+Giardiasis,11-09-10,2011,564,9,7.25,71,45,0,Dry,0.43,191
37,Cryptosporidiosis+Giardiasis,11-09-17,2011,387,9,8.87,22,44,1,Dry,0.45,192
38,Cryptosporidiosis+Giardiasis,11-09-24,2011,528,9,48.42,37,43,0,Dry,0.77,193
39,Cryptosporidiosis+Giardiasis,11-10-01,2011,411,10,3.6,17,39,0,Dry,0.41,194
40,Cryptosporidiosis+Giardiasis,11-10-08,2011,339,10,3.05,58,42,0,Dry,0.4,195
41,Cryptosporidiosis+Giardiasis,11-10-15,2011,207,10,42.12,73,42,0,Dry,0.69,196
42,Cryptosporidiosis+Giardiasis,11-10-22,2011,237,10,20.85,53,40,1,Rainy,0.53,197
43,Cryptosporidiosis+Giardiasis,11-10-29,2011,336,10,68.25,52,37,0,Rainy,1.1,198
44,Cryptosporidiosis+Giardiasis,11-11-05,2011,252,11,50.97,67,35,0,Rainy,1.8,199
45,Cryptosporidiosis+Giardiasis,11-11-12,2011,108,11,43.22,47,34,0,Rainy,1.7,200
46,Cryptosporidiosis+Giardiasis,11-11-19,2011,171,11,32.35,61,34,0,Rainy,1.61,201
47,Cryptosporidiosis+Giardiasis,11-11-26,2011,114,11,3.12,76,35,1,Rainy,0.4,202
48,Cryptosporidiosis+Giardiasis,11-12-03,2011,138,12,0,56,37,0,Rainy,0.36,203
49,Cryptosporidiosis+Giardiasis,11-12-10,2011,129,12,72.87,13,36,0,Rainy,1.2,204
50,Cryptosporidiosis+Giardiasis,11-12-17,2011,129,12,49.15,28,32,0,Rainy,1.78,205
51,Cryptosporidiosis+Giardiasis,11-12-24,2011,207,12,1.5,8,32,0,Rainy,2.38,206
52,Cryptosporidiosis+Giardiasis,11-12-31,2011,228,12,64.52,59,33,0,Rainy,0.95,207
1,Cryptosporidiosis+Giardiasis,12-01-07,2012,105,1,72.37,74,33,1,Rainy,1.1,208
2,Cryptosporidiosis+Giardiasis,12-01-14,2012,138,1,17.85,54,31,1,Rainy,1.51,209
3,Cryptosporidiosis+Giardiasis,12-01-21,2012,138,1,80.22,82,29,0,Rainy,1.4,210
4,Cryptosporidiosis+Giardiasis,12-01-28,2012,138,1,2.47,97,28,0,Rainy,0.4,211
5,Cryptosporidiosis+Giardiasis,12-02-04,2012,150,2,55.55,77,25,0,Rainy,0.87,212
6,Cryptosporidiosis+Giardiasis,12-02-11,2012,168,2,66.62,12,26,0,Rainy,1,213
7,Cryptosporidiosis+Giardiasis,12-02-18,2012,144,2,34.52,27,26,0,Rainy,0.63,214
8,Cryptosporidiosis+Giardiasis,12-02-25,2012,93,2,13.85,7,22,0,Rainy,0.49,215
9,Cryptosporidiosis+Giardiasis,12-03-03,2012,129,3,14.5,45,22,0,Rainy,0.5,216
10,Cryptosporidiosis+Giardiasis,12-03-10,2012,153,3,4.87,60,24,0,Rainy,1.41,217
11,Cryptosporidiosis+Giardiasis,12-03-17,2012,156,3,27.62,40,29,0,Rainy,0.58,218
12,Cryptosporidiosis+Giardiasis,12-03-24,2012,150,3,23.7,15,30,0,Rainy,0.55,219
13,Cryptosporidiosis+Giardiasis,12-03-31,2012,189,3,90.37,71,29,0,Rainy,1.9,220
14,Cryptosporidiosis+Giardiasis,12-04-07,2012,129,4,44.62,86,29,0,Rainy,0.71,221
15,Cryptosporidiosis+Giardiasis,12-04-14,2012,171,4,32.2,66,28,0,Rainy,0.61,222
16,Cryptosporidiosis+Giardiasis,12-04-21,2012,159,4,25.02,89,30,0,Dry,0.56,223
17,Cryptosporidiosis+Giardiasis,12-04-28,2012,126,4,40.82,66,30,1,Dry,0.68,224
18,Cryptosporidiosis+Giardiasis,12-05-05,2012,195,5,44.95,84,30,0,Dry,0.71,225
19,Cryptosporidiosis+Giardiasis,12-05-12,2012,162,5,55.37,50,29,0,Dry,0.87,226
20,Cryptosporidiosis+Giardiasis,12-05-19,2012,216,5,43.17,30,26,0,Dry,0.7,227
21,Cryptosporidiosis+Giardiasis,12-05-26,2012,123,5,72.65,65,27,0,Dry,1.2,228
22,Cryptosporidiosis+Giardiasis,12-06-02,2012,150,6,7.67,80,27,1,Dry,0.44,229
23,Cryptosporidiosis+Giardiasis,12-06-09,2012,141,6,16.15,60,30,0,Dry,0.5,230
24,Cryptosporidiosis+Giardiasis,12-06-16,2012,165,6,33.75,18,30,0,Dry,0.63,231
25,Cryptosporidiosis+Giardiasis,12-06-23,2012,195,6,52.65,33,28,0,Dry,0.83,232
26,Cryptosporidiosis+Giardiasis,12-06-30,2012,123,6,0,13,29,0,Dry,0.35,233
27,Cryptosporidiosis+Giardiasis,12-07-07,2012,111,7,17.7,63,31,0,Dry,0.51,234
28,Cryptosporidiosis+Giardiasis,12-07-14,2012,123,7,10.4,78,35,1,Dry,0.46,235
29,Cryptosporidiosis+Giardiasis,12-07-21,2012,297,7,0,58,36,0,Dry,0.35,236
30,Cryptosporidiosis+Giardiasis,12-07-28,2012,210,7,26.27,20,38,0,Dry,0.57,237
31,Cryptosporidiosis+Giardiasis,12-08-04,2012,201,8,0,35,39,0,Dry,0.35,238
32,Cryptosporidiosis+Giardiasis,12-08-11,2012,375,8,24.92,15,43,0,Dry,0.55,239
33,Cryptosporidiosis+Giardiasis,12-08-18,2012,225,8,88.47,10,43,0,Dry,1.9,240
34,Cryptosporidiosis+Giardiasis,12-08-25,2012,300,8,0,25,44,0,Dry,2.35,241
35,Cryptosporidiosis+Giardiasis,12-09-01,2012,393,9,65.45,5,44,0,Dry,2.97,242
36,Cryptosporidiosis+Giardiasis,12-09-08,2012,282,9,59.1,10,44,0,Dry,2.9,243
37,Cryptosporidiosis+Giardiasis,12-09-15,2012,306,9,41.92,25,43,1,Dry,0.69,244
38,Cryptosporidiosis+Giardiasis,12-09-22,2012,324,9,0,5,38,0,Dry,0.35,245
39,Cryptosporidiosis+Giardiasis,12-09-29,2012,225,9,1.7,52,42,0,Dry,0.39,246
40,Cryptosporidiosis+Giardiasis,12-10-06,2012,189,10,19.4,67,40,0,Dry,0.52,247
41,Cryptosporidiosis+Giardiasis,12-10-13,2012,174,10,23.17,47,39,0,Dry,0.54,248
42,Cryptosporidiosis+Giardiasis,12-10-20,2012,204,10,14.87,29,42,1,Rainy,0.5,249
43,Cryptosporidiosis+Giardiasis,12-10-27,2012,150,10,68.47,44,38,0,Rainy,3.1,250
44,Cryptosporidiosis+Giardiasis,12-11-03,2012,186,11,86.17,24,32,0,Rainy,3.6,251
45,Cryptosporidiosis+Giardiasis,12-11-10,2012,153,11,82.02,78,29,0,Rainy,4.4,252
46,Cryptosporidiosis+Giardiasis,12-11-17,2012,159,11,68.57,93,27,0,Rainy,2.1,253
47,Cryptosporidiosis+Giardiasis,12-11-24,2012,112,11,71.92,73,24,1,Rainy,1.1,254
48,Cryptosporidiosis+Giardiasis,12-12-01,2012,111,12,97.52,79,20,0,Rainy,2.3,255
49,Cryptosporidiosis+Giardiasis,12-12-08,2012,138,12,21.3,94,19,0,Rainy,0.53,256
50,Cryptosporidiosis+Giardiasis,12-12-15,2012,135,12,96.05,74,18,0,Rainy,2.1,257
51,Cryptosporidiosis+Giardiasis,12-12-22,2012,159,12,84.12,31,12,0,Rainy,2.6,258
52,Cryptosporidiosis+Giardiasis,12-12-29,2012,180,12,173.32,46,12,0,Rainy,11,259
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
